title,authors,year,url,abstract,venue,source
Digital Automatic Execution and Verification Mechanism of Property Rights Based on Blockchain and Smart Contracts,"Yetong Wang, Kongduo Xing, Bing Zheng",2024,https://www.semanticscholar.org/paper/f86776aa3ca1ea53b50bcafecdc69ef5d0bf330d,"Blockchain technology (BT), as another important innovation following cloud computing, big data, mobile Internet and other information technologies, uses distributed node consensus algorithms to verify, store and update data, showing the unique advantages of centralization, distrust, anonymity and data tamper resistance. Smart contracts are based on BT as the underlying support, achieving automatic execution of contracts and providing more efficient and secure solutions for various transactions. This article delves into the digital automatic execution and verification mechanism of property rights based on BT and smart contracts. Through this mechanism, property rights information can be digitized and securely stored on the blockchain, achieving real-time updates and multi-party sharing of information, thereby greatly improving the transparency and traceability of property rights transactions. The application of smart contracts further enhances the automatic execution of transactions, ensuring the automatic triggering of relevant operations when transaction conditions are met, and ensuring the legality and effectiveness of transactions through built-in verification mechanisms. The experimental results indicate that this mechanism not only improves the efficiency of property rights transactions, reduces transaction costs and risks, but also brings revolutionary innovation to the field of property rights transactions.",2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),Semantic Scholar
Parallel Governance for Decentralized Autonomous Organizations enabled by Blockchain and Smart Contracts,"Wenwen Ding, Xiaolong Liang, Jiachen Hou, Ge Wang, Yong Yuan, Junqing Li, Fei-yue Wang",2021,https://www.semanticscholar.org/paper/96e7d14433997c8610982b3d43bb68acd0d48521,"Decentralized autonomous organizations(DAOs) enabled by blockchain and smart contracts is regarded as an effective tool to solve corporate governance problems. It can minimize the contract risks, principal-agent dilemmas, and other issues in corporate governance. However, DAOs also face a variety of governance issues, such as internal governance issues and external governance issues caused by the technical attributes of blockchain and smart contracts. DAO is a typical complex system with the characteristics of both social and engineering complexity. It is difficult for existing governance theories to solve governance problems in DAOs. The parallel intelligence theory based on the artificial systems + computational experiments + parallel execution (ACP) method is a suitable research and practical approach to solve management and control problems for complex systems. Therefore, we propose a parallel governance framework for DAO based on the parallel intelligence theory and discuss its key research issues. Finally, we construct a parallel governance system for GnosisDAO, and conduct computational experiments on its voting mechanism. The results show the defects of GnosisDAO governance mechanism and we thus propose further research directions. We consider that parallel governance represents the future trend of DAO research and practice. This paper is aimed at stimulating further effort and providing helpful guidance and reference for future research works.",2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI),Semantic Scholar
Design and Operation Research of School Smart Sports System Based on Blockchain Technology,Mingna Shi,2024,https://www.semanticscholar.org/paper/27dada56888a6ee4c02ae1bedaa4d260eac08176,"Based on the needs of digital technology, smart sports, and educational management reform, this paper proposes the idea of applying blockchain technology to the operation of smart sports in schools in the context of the information age. By using methods such as literature review, survey analysis, and interdisciplinary research, this study explores core issues such as the design principles and system architecture of a blockchain based school smart sports system; Analyzed the operational processes, certificate authentication, and smart contracts related to the blockchain based school smart sports system operation; An analysis was conducted on application scenarios based on school sports management, sports credit banking, sports evaluation and certification. In this regard, we hope to promote and ensure the establishment of a ubiquitous, intelligent, and personalized learning system, and promote the deep development of smart sports in schools.",2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),Semantic Scholar
A Distributed framework for detecting DDoS attacks in smart contract‐based Blockchain‐IoT Systems by leveraging Fog computing,"Prabhat Kumar, Randhir Kumar, Govind P. Gupta, Rakesh Tripathi",2020,https://www.semanticscholar.org/paper/3f1c2c386b38a80e4c3848331bc1ba42230b868f,"With the advancement of blockchain technology, and the proliferation of Internet of things (IoT)‐driven devices, the blockchain‐IoT applications is changing the perception and working infrastructure of smart networks. Blockchain supports decentralized architecture and provides secure management, authentication, and access to IoT systems by deploying smart contracts provided by Ethereum. The growing demand and expansion of blockchain‐IoT systems is generating large volume of sensitive data. Moreover, distributed denial‐of‐service (DDoS) attacks are the most challenging threats to smart contracts in blockchain‐IoT systems. The 2016 decentralized autonomous organization and 2017 parity wallet attacks exposed the critical fault‐lines among Ethereum smart contracts. Currently, there is no security mechanism available for smart contracts after its deployment in blockchain‐IoT systems. In order to address these challenges, first we use two artificial intelligence techniques, random forest (RF) and XGBoost that gives full autonomy in decision making capabilities in the proposed security framework. Second, for data load balancing and distributed file storage of IoT data, interplanetary file system is suggested. Finally, we are the first to propose a distributed framework based on fog computing to detect DDoS attacks in smart contracts. The performance of the detection system is evaluated using actual IoT dataset, namely, BoT‐IoT. The proposed system is evaluated in terms of accuracy (AC), detection rate (DR), and false alarm rate (FAR). The results confirms the superiority of the proposed framework over some of the recent state‐of‐art techniques in detecting rare attacks. The proposed framework has achieved DR up to 99.99% using RF by using 10 features of BoT‐IoT dataset.",Transactions on Emerging Telecommunications Technologies,Semantic Scholar
Enabling Artificial Intelligence & Blockchain in the Data-Driven Supply Chains,Samia Chehbi-Gamoura,2020,https://www.semanticscholar.org/paper/fee1d7321e800dad51c6ad85644ea0f342993aa9,"The Blockchains, empowered by decentralization, immutability, and trustfulness abilities in managing systems, they are gaining in an increasing business use cases such as smart contracts, Autonomous Freight Vehicles (AFV), Autonomous Connected Factory (ACF), and so forth. Artificial Intelligence approaches, endowed by advanced analytics, optimized methods, and predictive decisions are multiplying usage in many management fields such as smart manufacturing, marketing automation, predictive maintenance, customers’ segmentation, etc.",,Semantic Scholar
Metaverse‐based decentralised autonomous organisation in energy systems,"Huan Zhao, Junhua Zhao, Wenxuan Liu, Yong Yan, Jianwei Huang, Fushuan Wen",2023,https://www.semanticscholar.org/paper/a5ff01d2435cb1d452ac9c657a87ae8a3d6bf922,"Developing renewable energy generation (REG)‐rich power systems could contribute to achieving carbon neutrality. To ensure the secure and economic operation of power systems with high penetration of renewable energy, it is necessary to solve the problem of inefficient utilisation of demand‐side resources by the current electricity market mechanism. The metaverse, an emerging technology attracting widespread attention, is expected to efficiently solve this problem. The metaverse can be regarded as a virtual‐real interactive economic system built on advanced technologies such as blockchain, artificial intelligence, extended reality, avatars, and decentralised autonomous organisations (DAO). This paper first briefly introduces the concept, architecture, technologies, and features of the metaverse. Then, a metaverse‐based DAO for energy systems is proposed and the corresponding business model is explored. The Energy DAO utilises algorithms and user consensus combined with smart contracts to solidify organisational operation rules. In this way, it organises users to directly participate in multiple types of electricity markets and carbon markets, as well as behavioural data production and transactions. Finally, an Energy DAO example for demand‐side sources demonstrates how the Energy DAO could solve the problems of information asymmetry, information opacity, and incentive incompatibility in electricity market mechanisms.",Energy Conversion and Economics,Semantic Scholar
Leveraging Blockchain for IoT Network Security Enhancement: A Comprehensive Survey,"Ayat N. Kadhum, A. Al-Salih",2024,https://www.semanticscholar.org/paper/9012f27d81e747baddc42c9123ada972f8bbea6c,"The rapid growth of the Internet of Things (IoT) presents enormous challenges when it comes to ensuring security and privacy across a wide, interconnected array of networks. The survey questions how blockchain is able to improve security, increase trust in, and guarantee the integrity of IoT ecosystems' data. This study points out solutions for the integration of blockchain with IoT, especially through a layered architecture designed for IoT networks, by analyzing different blockchain frameworks and consensus protocols, including Hyperledger Fabric. The major blockchain components key to secure and efficient handling of data in IoT systems, such as smart contracts and cryptographic algorithms, are assessed in this survey. This review showed that blockchain, combined with new emerging technologies such as Artificial Intelligence (AI), will be able to reinforce IoT networks toward secure interactions and trust management in sensitive sections, such as in healthcare and autonomous systems.",2024 International Jordanian Cybersecurity Conference (IJCC),Semantic Scholar
Metaverses and DeMetaverses: From Digital Twins in CPS to Parallel Intelligence in CPSS,"Xiao Wang, J. Yang, Jinpeng Han, Wei Wang, Fei Wang, Xiao Wang, Fei-yue Wang",2022,https://www.semanticscholar.org/paper/1035f4f8f8f1a3ea950840fcc239c36a162906df,"A total of 12 years have been passed since this Department was created in 2010 as the first academic forum dedicated to cyber-physical-social systems (CPSS), with the first CPSS research article on the field: “The Emergence of Intelligent Enterprises: From CPS to CPSS.” What has happened and changed during the past decade? A brief reflection and review are presented here with a focus on digital twins in CPS versus parallel intelligence in CPSS, and their relationship to blockchain intelligence, smart contracts, metaverses, DAO, Web3, and decentralized science. The concept of DeMetaverses is thus introduced and interpreted as a DAO-based decentralized autonomous metaverse. The characteristics, mechanism, and impact of DeMetaverses are discussed with a vision for achieving an integrated human, artificial, natural, and organizational intelligence that would transform our world into “6S” societies.",IEEE Intelligent Systems,Semantic Scholar
"Decentralized Autonomous Organizations: Concept, Model, and Applications","Shuai Wang, Wenwen Ding, Juanjuan Li, Yong Yuan, Liwei Ouyang, Feiyue Wang",2019,https://www.semanticscholar.org/paper/a084fc99158210d85000dd59c7093c0604657684,"Decentralized autonomy is a long-standing research topic in information sciences and social sciences. The self-organization phenomenon in natural ecosystems, the Cyber Movement Organizations (CMOs) on the Internet, and the Distributed Artificial Intelligence (DAI), and so on, can all be regarded as its early manifestations. In recent years, the rapid development of blockchain technology has spawned the emergence of the so-called Decentralized Autonomous Organization [DAO, sometimes labeled as Decentralized Autonomous Corporation (DAC)], which is a new organization form that the management and operational rules are typically encoded on blockchain in the form of smart contracts, and can autonomously operate without centralized control or third-party intervention. DAO is expected to overturn the traditional hierarchical management model and significantly reduce organizations’ costs on communication, management, and collaboration. However, DAO still faces many challenges, such as security and privacy issue, unclear legal status, and so on. In this article, we strive to present a systematic introduction of DAO, including its concept and characteristics, research framework, typical implementations, challenges, and future trends. Especially, a novel reference model for DAO which employs a five-layer architecture is proposed. This article is aimed at providing helpful guidance and reference for future research efforts.",IEEE Transactions on Computational Social Systems,Semantic Scholar
Intelligent Computational Architecture for Improving the Quality of Higher Education,"Jorge Omar Portilla Jaimes, Mauricio Rojas Contreras, Oscar J. Suarez",2024,https://www.semanticscholar.org/paper/a43ff2b721662317637fec4575c1636be009145a,"This paper presents an intelligent computational architecture designed to enhance the quality of higher education in an academic ecosystem. By integrating generative artificial intelligence (GenAI), complex systems, and blockchain technology, this architecture aims to invigorate formative research and optimize educational processes. The proposed architecture seeks to facilitate effective collaboration and enhance educational quality by modeling academic ecosystems as complex networks and using smart contracts for intellectual property management, coupled with the incorporation of participation incentives through blockchain-based social tokens. The resulting architecture employs autonomous agents to propose projects and automatically recruit participants by combining complex networks with GenAI, preserving intellectual property via blockchain and managing incentives with social tokens.",2024 International Symposium on Accreditation of Engineering and Computing Education (ICACIT),Semantic Scholar
